Number,Ticker
1,360ONE
2,ABB
3,APLAPOLLO
4,AUBANK
5,ADANIENSOL
6,ADANIENT
7,ADANIGREEN
8,ADANIPORTS
9,ADANIPOWER
10,ABCAPITAL
11,ALKEM
12,AMBER
13,AMBUJACEM
14,ANGELONE
15,APOLLOHOSP
16,ASHOKLEY
17,ASIANPAINT
18,ASTRAL
19,AUROPHARMA
20,DMART
21,AXISBANK
22,BSE
23,BAJAJ-AUTO
24,BAJFINANCE
25,BAJAJFINSV
26,BAJAJHLDNG
27,BANDHANBNK
28,BANKBARODA
29,BANKINDIA
30,BDL
31,BEL
32,BHARATFORG
33,BHEL
34,BPCL
35,BHARTIARTL
36,BIOCON
37,BLUESTARCO
38,BOSCHLTD
39,BRITANNIA
40,CGPOWER
41,CANBK
42,CDSL
43,CHOLAFIN
44,CIPLA
45,COALINDIA
46,COCHINSHIP
47,COFORGE
48,COLPAL
49,CAMS
50,CONCOR
51,CROMPTON
52,CUMMINSIND
53,DLF
54,DABUR
55,DALBHARAT
56,DELHIVERY
57,DIVISLAB
58,DIXON
59,DRREDDY
60,ETERNAL
61,EICHERMOT
62,FORCEMOT
63,NYKAA
64,FORTIS
65,GAIL
66,GVT&D
67,GMRAIRPORT
68,GLENMARK
69,GODFRYPHLP
70,GODREJCP
71,GODREJPROP
72,GRASIM
73,HCLTECH
74,HDFCAMC
75,HDFCBANK
76,HDFCLIFE
77,HAVELLS
78,HEROMOTOCO
79,HINDALCO
80,HAL
81,HINDPETRO
82,HINDUNILVR
83,HINDZINC
84,POWERINDIA
85,HYUNDAI
86,ICICIBANK
87,ICICIGI
88,ICICIPRULI
89,IDFCFIRSTB
90,ITC
91,INDIANB
92,IEX
93,IOC
94,IRFC
95,IREDA
96,INDUSTOWER
97,INDUSINDBK
98,NAUKRI
99,INFY
100,INOXWIND
101,INDIGO
102,JINDALSTEL
103,JSWENERGY
104,JSWSTEEL
105,JIOFIN
106,JUBLFOOD
107,KEI
108,KPITTECH
109,KALYANKJIL
110,KAYNES
111,KFINTECH
112,KOTAKBANK
113,LTF
114,LICHSGFIN
115,LTM
116,LT
117,LAURUSLABS
118,LICI
119,LODHA
120,LUPIN
121,M&M
122,MANAPPURAM
123,MANKIND
124,MARICO
125,MARUTI
126,MFSL
127,MAXHEALTH
128,MAZDOCK
129,MOTILALOFS
130,MPHASIS
131,MCX
132,MUTHOOTFIN
133,NBCC
134,NHPC
135,NMDC
136,NTPC
137,NATIONALUM
138,NESTLEIND
139,NAM-INDIA
140,OBEROIRLTY
141,ONGC
142,OIL
143,PAYTM
144,OFSS
145,POLICYBZR
146,PGEL
147,PIIND
148,PNBHOUSING
149,PAGEIND
150,PATANJALI
151,PERSISTENT
152,PETRONET
153,PIDILITIND
154,POLYCAB
155,PFC
156,POWERGRID
157,PREMIERENE
158,PRESTIGE
159,PNB
160,RBLBANK
161,RECLTD
162,RADICO
163,RVNL
164,RELIANCE
165,SBICARD
166,SBILIFE
167,SHREECEM
168,SRF
169,SAMMAANCAP
170,MOTHERSON
171,SHRIRAMFIN
172,SIEMENS
173,SOLARINDS
174,SONACOMS
175,SBIN
176,SAIL
177,SUNPHARMA
178,SUPREMEIND
179,SUZLON
180,SWIGGY
181,TATACONSUM
182,TVSMOTOR
183,TCS
184,TATAELXSI
185,TMPV
186,TATAPOWER
187,TATASTEEL
188,TECHM
189,FEDERALBNK
190,INDHOTEL
191,PHOENIXLTD
192,TITAN
193,TORNTPHARM
194,TRENT
195,TIINDIA
196,UNOMINDA
197,UPL
198,ULTRACEMCO
199,UNIONBANK
200,UNITDSPR
201,VBL
202,VEDL
203,VMM
204,IDEA
205,VOLTAS
206,WAAREEENER
207,WIPRO
208,YESBANK
209,ZYDUSLIFE
