symbol,weight_pct,source,as_of_date
HDFCBANK,10.27,official,2026-07-31
ICICIBANK,9.22,official,2026-07-31
RELIANCE,7.92,official,2026-07-31
BHARTIARTL,5.37,official,2026-07-31
LT,4.13,official,2026-07-31
SBIN,3.81,official,2026-07-31
INFY,3.55,official,2026-07-31
AXISBANK,3.16,official,2026-07-31
BAJFINANCE,2.74,official,2026-07-31
M&M,2.72,official,2026-07-31
TCS,3.676,estimate,2026-08-07
HINDUNILVR,2.101,estimate,2026-08-07
SUNPHARMA,1.999,estimate,2026-08-07
TITAN,1.897,estimate,2026-08-07
MARUTI,1.889,estimate,2026-08-07
ADANIENT,1.762,estimate,2026-08-07
KOTAKBANK,1.677,estimate,2026-08-07
ADANIPORTS,1.677,estimate,2026-08-07
HCLTECH,1.558,estimate,2026-08-07
ITC,1.533,estimate,2026-08-07
ULTRACEMCO,1.525,estimate,2026-08-07
BAJAJFINSV,1.431,estimate,2026-08-07
NTPC,1.431,estimate,2026-08-07
JSWSTEEL,1.372,estimate,2026-08-07
BAJAJ-AUTO,1.364,estimate,2026-08-07
ETERNAL,1.313,estimate,2026-08-07
ONGC,1.279,estimate,2026-08-07
BEL,1.254,estimate,2026-08-07
SHRIRAMFIN,1.152,estimate,2026-08-07
ASIANPAINT,1.127,estimate,2026-08-07
COALINDIA,1.093,estimate,2026-08-07
POWERGRID,1.076,estimate,2026-08-07
TATASTEEL,1.016,estimate,2026-08-07
HINDALCO,0.991,estimate,2026-08-07
GRASIM,0.932,estimate,2026-08-07
EICHERMOT,0.932,estimate,2026-08-07
INDIGO,0.881,estimate,2026-08-07
SBILIFE,0.805,estimate,2026-08-07
WIPRO,0.788,estimate,2026-08-07
JIOFIN,0.745,estimate,2026-08-07
TRENT,0.711,estimate,2026-08-07
TECHM,0.686,estimate,2026-08-07
APOLLOHOSP,0.542,estimate,2026-08-07
TMPV,0.542,estimate,2026-08-07
CIPLA,0.508,estimate,2026-08-07
HDFCLIFE,0.508,estimate,2026-08-07
TATACONSUM,0.466,estimate,2026-08-07
MAXHEALTH,0.449,estimate,2026-08-07
DRREDDY,0.423,estimate,2026-08-07
NESTLEIND,0.0,unconfirmed,2026-08-07
